/A X,/A Y,/nand_AB X,/nand_AB Y,/nand_1B X,/nand_1B Y,/nand_A1 X,/nand_A1 Y
1.070000000000001,1.070000000000001,1.070000000000001,0.1244024390413608,1.070000000000001,0.04401536129380581,1.070000000000001,0.04331117978135773
1.080000000000001,1.080000000000001,1.080000000000001,0.1118328928794467,1.080000000000001,0.04047357015833119,1.080000000000001,0.03990250508797323
1.090000000000001,1.090000000000001,1.090000000000001,0.1006529377582053,1.090000000000001,0.03715630318373411,1.090000000000001,0.0366943964960748
1.100000000000001,1.100000000000001,1.100000000000001,0.09062848847432844,1.100000000000001,0.03404828511195487,1.100000000000001,0.03367581996860763
1.110000000000001,1.110000000000001,1.110000000000001,0.08158540934708616,1.110000000000001,0.03113620374886814,1.110000000000001,0.03083692730437844
1.120000000000001,1.120000000000001,1.120000000000001,0.07339022025094942,1.120000000000001,0.02840836436559279,1.120000000000001,0.02816886606935815
1.130000000000001,1.130000000000001,1.130000000000001,0.06593805574262533,1.130000000000001,0.0258544158611088,1.130000000000001,0.0256636262794532
1.140000000000001,1.140000000000001,1.140000000000001,0.05914481956272295,1.140000000000001,0.02346513335186282,1.140000000000001,0.02331391734840355
1.150000000000001,1.150000000000001,1.150000000000001,0.05294188886380428,1.150000000000001,0.02123224555666781,1.150000000000001,0.02111307005278494
1.160000000000001,1.160000000000001,1.160000000000001,0.04727243267200319,1.160000000000001,0.01914829776123246,1.160000000000001,0.01905495896344999
1.170000000000001,1.170000000000001,1.170000000000001,0.04208878697732045,1.170000000000001,0.01720654261439653,1.170000000000001,0.01713394104349509
1.180000000000001,1.180000000000001,1.180000000000001,0.03735053953953164,1.180000000000001,0.01540085176629044,1.180000000000001,0.0153448059971494
1.190000000000001,1.190000000000001,1.190000000000001,0.03302309960130467,1.190000000000001,0.01372564160451637,1.190000000000001,0.0136827335643192
1.200000000000001,1.200000000000001,1.200000000000001,0.02907660087111689,1.200000000000001,0.01217580628053221,1.200000000000001,0.01214325242426606
1.210000000000001,1.210000000000001,1.210000000000001,0.02548503151892844,1.210000000000001,0.01074665109089124,1.210000000000001,0.01072219489768837
1.220000000000001,1.220000000000001,1.220000000000001,0.022225514476254,1.220000000000001,0.009433819402042992,1.220000000000001,0.009415641502184369
1.230000000000001,1.230000000000001,1.230000000000001,0.0192776822639989,1.230000000000001,0.008233207068550782,1.230000000000001,0.00821984998504938
1.240000000000001,1.240000000000001,1.240000000000001,0.01662310748546733,1.240000000000001,0.007140860105412039,1.240000000000001,0.00713116512663711
1.250000000000001,1.250000000000001,1.250000000000001,0.01424476592740663,1.250000000000001,0.006152854568121545,1.250000000000001,0.006145908698247947
1.260000000000001,1.260000000000001,1.260000000000001,0.01212652537285225,1.260000000000001,0.005265162243406857,1.260000000000001,0.005260253535634033
1.270000000000001,1.270000000000001,1.270000000000001,0.01025266965698829,1.270000000000001,0.0044735114565176,1.270000000000001,0.004470091341448431
1.280000000000001,1.280000000000001,1.280000000000001,0.008607482414335049,1.280000000000001,0.003773258009388092,1.280000000000001,0.003770909500295906
1.290000000000001,1.290000000000001,1.290000000000001,0.007174925130026789,1.290000000000001,0.003159285313781064,1.290000000000001,0.003157696205617775
1.300000000000001,1.300000000000001,1.300000000000001,0.005938445733119371,1.300000000000001,0.00262595326991018,1.300000000000001,0.002624893646469624
1.310000000000001,1.310000000000001,1.310000000000001,0.004880944392687955,1.310000000000001,0.002167110962645414,1.310000000000001,0.002166414479396336
1.320000000000001,1.320000000000001,1.320000000000001,0.003984902759233606,1.320000000000001,0.001776178786883746,1.320000000000001,0.001775727300403357
1.330000000000001,1.330000000000001,1.330000000000001,0.003232656097926237,1.330000000000001,0.001446293066738586,1.330000000000001,0.00144600423684803
1.340000000000001,1.340000000000001,1.340000000000001,0.002606762350526554,1.340000000000001,0.001170494086235103,1.340000000000001,0.001170311594154822
1.350000000000001,1.350000000000001,1.350000000000001,0.002090406366305716,1.350000000000001,0.0009419305064324375,1.350000000000001,0.0009418165286928051
1.360000000000001,1.360000000000001,1.360000000000001,0.001667776427675077,1.360000000000001,0.000754051856220891,1.360000000000001,0.0007539814282820793
1.370000000000001,1.370000000000001,1.370000000000001,0.001324363359387033,1.370000000000001,0.000600766134211336,1.370000000000001,0.0006007230438655932
1.380000000000001,1.380000000000001,1.380000000000001,0.001047154514744934,1.380000000000001,0.0004765491920289275,1.380000000000001,0.000476523066795702
1.390000000000001,1.390000000000001,1.390000000000001,0.000824718169667283,1.390000000000001,0.0003765030504969188,1.390000000000001,0.0003764873436490395
1.400000000000001,1.400000000000001,1.400000000000001,0.0006471919751474937,1.400000000000001,0.0002963686804792895,1.400000000000001,0.0002963593105091977
1.410000000000001,1.410000000000001,1.410000000000001,0.0005061991169908014,1.410000000000001,0.0002325035866044161,1.410000000000001,0.0002324980371419622
1.420000000000001,1.420000000000001,1.420000000000001,0.0003947180998087536,1.420000000000001,0.0001818358388317703,1.420000000000001,0.0001818325741043586
1.430000000000001,1.430000000000001,1.430000000000001,0.0003069290366144309,1.430000000000001,0.0001418050388186896,1.430000000000001,0.0001418031301641947
1.440000000000001,1.440000000000001,1.440000000000001,0.0002380538282127748,1.440000000000001,0.0001102983514959602,1.440000000000001,0.0001102972421208134
1.450000000000001,1.450000000000001,1.450000000000001,0.0001842018471520825,1.450000000000001,8.558717763729004e-05,1.450000000000001,8.558653631779783e-05
1.460000000000001,1.460000000000001,1.460000000000001,0.0001422279022860669,1.460000000000001,6.626785733643349e-05,1.460000000000001,6.626748846217176e-05
1.470000000000001,1.470000000000001,1.470000000000001,0.0001096057344174501,1.470000000000001,5.120817279590229e-05,1.470000000000001,5.120796162089738e-05
1.480000000000001,1.480000000000001,1.480000000000001,8.431798157500571e-05,1.480000000000001,3.950033348228653e-05,1.480000000000001,3.950021311509574e-05
1.490000000000001,1.490000000000001,1.490000000000001,6.476216803413945e-05,1.490000000000001,3.04204582959949e-05,1.490000000000001,3.042038996676229e-05
1.500000000000001,1.500000000000001,1.500000000000001,4.967151846508917e-05,1.500000000000001,2.339418931145806e-05,1.500000000000001,2.339415066968389e-05
1.510000000000001,1.510000000000001,1.510000000000001,3.80490449056938e-05,1.510000000000001,1.796787670848889e-05,1.510000000000001,1.796785493307915e-05
